ijcnn  lambda = 0.0001
stepsize: SVRG¡¢SAG(0.01)  SAGA(0.00005)


=================== SVRG ====================
SVRG: Epoch = 000, cost = 0.9483610990396980, optgap = 0.743202271931
SVRG: epoch = 001, cost = 0.2527673890968419, optgap = 0.0476085620, time = 3.732434
SVRG: epoch = 002, cost = 0.2285050775192867, optgap = 0.0233462504, time = 7.349587
SVRG: epoch = 003, cost = 0.2188914516285739, optgap = 0.0137326245, time = 10.956127
SVRG: epoch = 004, cost = 0.2140341211884037, optgap = 0.0088752941, time = 14.566624
SVRG: epoch = 005, cost = 0.2112598460414004, optgap = 0.0061010189, time = 18.181970
SVRG: epoch = 006, cost = 0.2095474856517244, optgap = 0.0043886585, time = 21.856753
SVRG: epoch = 007, cost = 0.2084248877637349, optgap = 0.0032660607, time = 25.545075
SVRG: epoch = 008, cost = 0.2076550476614327, optgap = 0.0024962206, time = 29.242499
SVRG: epoch = 009, cost = 0.2071071636695077, optgap = 0.0019483366, time = 33.011855
SVRG: epoch = 010, cost = 0.2067052711202754, optgap = 0.0015464440, time = 36.693501
SVRG: epoch = 011, cost = 0.2064034093791111, optgap = 0.0012445823, time = 40.408067
SVRG: epoch = 012, cost = 0.2061713238866958, optgap = 0.0010124968, time = 44.070598
SVRG: epoch = 013, cost = 0.2059898746573567, optgap = 0.0008310475, time = 47.793974
SVRG: epoch = 014, cost = 0.2058459532878791, optgap = 0.0006871262, time = 51.434193
SVRG: epoch = 015, cost = 0.2057302254995065, optgap = 0.0005713984, time = 55.099100
SVRG: epoch = 016, cost = 0.2056362520137807, optgap = 0.0004774249, time = 58.739996
SVRG: epoch = 017, cost = 0.2055593470282753, optgap = 0.0004005199, time = 62.398333
SVRG: epoch = 018, cost = 0.2054958476792109, optgap = 0.0003370206, time = 66.047075
SVRG: epoch = 019, cost = 0.2054431576827299, optgap = 0.0002843306, time = 69.717795
SVRG: epoch = 020, cost = 0.2053991523981581, optgap = 0.0002403253, time = 73.405960
SVRG: epoch = 021, cost = 0.2053623487644393, optgap = 0.0002035217, time = 77.014652
SVRG: epoch = 022, cost = 0.2053313756451622, optgap = 0.0001725485, time = 80.657013
SVRG: epoch = 023, cost = 0.2053052824230167, optgap = 0.0001464553, time = 84.390008
SVRG: epoch = 024, cost = 0.2052832406201987, optgap = 0.0001244135, time = 88.045485
SVRG: epoch = 025, cost = 0.2052645572936368, optgap = 0.0001057302, time = 91.649650
SVRG: epoch = 026, cost = 0.2052487158470480, optgap = 0.0000898887, time = 95.251272
SVRG: epoch = 027, cost = 0.2052352474329789, optgap = 0.0000764203, time = 98.860218
SVRG: epoch = 028, cost = 0.2052237993632146, optgap = 0.0000649723, time = 102.447143
SVRG: epoch = 029, cost = 0.2052140408964296, optgap = 0.0000552138, time = 106.161374
SVRG: epoch = 030, cost = 0.2052057285148013, optgap = 0.0000469014, time = 109.862153
SVRG: epoch = 031, cost = 0.2051986384386578, optgap = 0.0000398113, time = 113.537098
SVRG: epoch = 032, cost = 0.2051925866296637, optgap = 0.0000337595, time = 117.189163
SVRG: epoch = 033, cost = 0.2051874118322449, optgap = 0.0000285847, time = 120.840364
SVRG: epoch = 034, cost = 0.2051829875970756, optgap = 0.0000241605, time = 124.501741
SVRG: epoch = 035, cost = 0.2051792032952585, optgap = 0.0000203762, time = 128.171483
SVRG: epoch = 036, cost = 0.2051759662580200, optgap = 0.0000171391, time = 131.842494
SVRG: epoch = 037, cost = 0.2051731960939060, optgap = 0.0000143690, time = 135.499519
SVRG: epoch = 038, cost = 0.2051708246864586, optgap = 0.0000119976, time = 139.189258
SVRG: epoch = 039, cost = 0.2051687918166163, optgap = 0.0000099647, time = 142.971032
SVRG: epoch = 040, cost = 0.2051670504964373, optgap = 0.0000082234, time = 146.585070
SVRG: epoch = 041, cost = 0.2051655586709129, optgap = 0.0000067316, time = 150.191845
SVRG: epoch = 042, cost = 0.2051642778096889, optgap = 0.0000054507, time = 153.825685
SVRG: epoch = 043, cost = 0.2051631800411307, optgap = 0.0000043529, time = 157.458306
SVRG: epoch = 044, cost = 0.2051622384804152, optgap = 0.0000034114, time = 161.096446
SVRG: epoch = 045, cost = 0.2051614306027033, optgap = 0.0000026035, time = 164.747469
SVRG: epoch = 046, cost = 0.2051607372495062, optgap = 0.0000019101, time = 168.379895
SVRG: epoch = 047, cost = 0.2051601419517593, optgap = 0.0000013148, time = 171.988561
SVRG: epoch = 048, cost = 0.2051596310273001, optgap = 0.0000008039, time = 175.595529
SVRG: epoch = 049, cost = 0.2051591922568790, optgap = 0.0000003651, time = 179.208161
SVRG: epoch = 050, cost = 0.2051588156590080, optgap = -0.0000000114, time = 182.794668
Optimality gap tolerance reached: tol_optgap = 1e-12
=================== SAGA ====================
SAGA: Epoch = 000, cost = 0.8240051903850452, optgap = 0.6188
SAGA: PASS_GRAD = 1, cost = 0.3953787681348412, optgap = 0.1902199410, time = 1.037142
SAGA: PASS_GRAD = 2, cost = 0.3121111090700130, optgap = 0.1069522820, time = 2.086180
SAGA: PASS_GRAD = 3, cost = 0.2409843703319093, optgap = 0.0358255432, time = 3.125832
SAGA: PASS_GRAD = 4, cost = 0.2375877200324156, optgap = 0.0324288929, time = 4.160640
SAGA: PASS_GRAD = 5, cost = 0.2272157812666758, optgap = 0.0220569542, time = 5.198728
SAGA: PASS_GRAD = 6, cost = 0.2120526076022944, optgap = 0.0068937805, time = 6.238502
SAGA: PASS_GRAD = 7, cost = 0.2081867777809193, optgap = 0.0030279507, time = 7.278881
SAGA: PASS_GRAD = 8, cost = 0.2076134657686836, optgap = 0.0024546387, time = 8.315727
SAGA: PASS_GRAD = 9, cost = 0.2072163514109705, optgap = 0.0020575243, time = 9.354774
SAGA: PASS_GRAD = 10, cost = 0.2064179871210436, optgap = 0.0012591600, time = 10.390058
SAGA: PASS_GRAD = 11, cost = 0.2055857272784458, optgap = 0.0004269002, time = 11.430320
SAGA: PASS_GRAD = 12, cost = 0.2056854309227139, optgap = 0.0005266038, time = 12.464817
SAGA: PASS_GRAD = 13, cost = 0.2055942198314879, optgap = 0.0004353927, time = 13.503552
SAGA: PASS_GRAD = 14, cost = 0.2055235036384627, optgap = 0.0003646765, time = 14.548681
SAGA: PASS_GRAD = 15, cost = 0.2055423738854282, optgap = 0.0003835468, time = 15.596984
SAGA: PASS_GRAD = 16, cost = 0.2054928472953256, optgap = 0.0003340202, time = 16.643333
SAGA: PASS_GRAD = 17, cost = 0.2054984340818617, optgap = 0.0003396070, time = 17.691179
SAGA: PASS_GRAD = 18, cost = 0.2054857133839314, optgap = 0.0003268863, time = 18.734016
SAGA: PASS_GRAD = 19, cost = 0.2054901019555210, optgap = 0.0003312748, time = 19.777485
SAGA: PASS_GRAD = 20, cost = 0.2054824225414112, optgap = 0.0003235954, time = 20.820384
SAGA: PASS_GRAD = 21, cost = 0.2054778663949187, optgap = 0.0003190393, time = 21.863594
SAGA: PASS_GRAD = 22, cost = 0.2054790452165964, optgap = 0.0003202181, time = 22.904540
SAGA: PASS_GRAD = 23, cost = 0.2054776603327641, optgap = 0.0003188332, time = 23.985726
SAGA: PASS_GRAD = 24, cost = 0.2054743073143551, optgap = 0.0003154802, time = 25.067472
SAGA: PASS_GRAD = 25, cost = 0.2054721315751207, optgap = 0.0003133045, time = 26.115403
SAGA: PASS_GRAD = 26, cost = 0.2054743807722700, optgap = 0.0003155537, time = 27.150465
SAGA: PASS_GRAD = 27, cost = 0.2054749576892765, optgap = 0.0003161306, time = 28.189401
SAGA: PASS_GRAD = 28, cost = 0.2054728260340221, optgap = 0.0003139989, time = 29.227415
SAGA: PASS_GRAD = 29, cost = 0.2054739824622087, optgap = 0.0003151554, time = 30.266403
SAGA: PASS_GRAD = 30, cost = 0.2054733554293841, optgap = 0.0003145283, time = 31.303216
SAGA: PASS_GRAD = 31, cost = 0.2054739869651460, optgap = 0.0003151599, time = 32.347648
SAGA: PASS_GRAD = 32, cost = 0.2054734305375220, optgap = 0.0003146034, time = 33.394761
SAGA: PASS_GRAD = 33, cost = 0.2054736223854038, optgap = 0.0003147953, time = 34.449128
SAGA: PASS_GRAD = 34, cost = 0.2054737746573458, optgap = 0.0003149475, time = 35.503711
SAGA: PASS_GRAD = 35, cost = 0.2054735068694321, optgap = 0.0003146798, time = 36.555819
