ijcnn  lambda = 0.1
stepsize: SVRG¡¢SAG(0.01)  SAGA(0.0001)

SVRG: Epoch = 000, cost = 1.5944590811165680, optgap = 0.993172932970
SVRG: epoch = 001, cost = 0.6014788291814923, optgap = 0.0001926810, time = 3.556832
SVRG: epoch = 002, cost = 0.6012861899554935, optgap = 0.0000000418, time = 7.110774
SVRG: epoch = 003, cost = 0.6012861481507469, optgap = 0.0000000000, time = 10.647689
SVRG: epoch = 004, cost = 0.6012861481465175, optgap = 0.0000000000, time = 14.201256


SAGA: Epoch = 000, cost = 2.6748676299631673, optgap = 2.0736
SAGA: PASS_GRAD = 1, cost = 0.9755403614383338, optgap = 0.3742542133, time = 1.004398
SAGA: PASS_GRAD = 2, cost = 1.2449863180372773, optgap = 0.6437001699, time = 2.005370
SAGA: PASS_GRAD = 3, cost = 0.7925921996306686, optgap = 0.1913060515, time = 3.021762
SAGA: PASS_GRAD = 4, cost = 0.7585205448022220, optgap = 0.1572343967, time = 4.051096
SAGA: PASS_GRAD = 5, cost = 0.7398039059766506, optgap = 0.1385177578, time = 5.051912
SAGA: PASS_GRAD = 6, cost = 0.7209547761884076, optgap = 0.1196686280, time = 6.051281
SAGA: PASS_GRAD = 7, cost = 0.6814476274864624, optgap = 0.0801614793, time = 7.057998
SAGA: PASS_GRAD = 8, cost = 0.6236318628825929, optgap = 0.0223457147, time = 8.054255
SAGA: PASS_GRAD = 9, cost = 0.6304827851667167, optgap = 0.0291966370, time = 9.065667
SAGA: PASS_GRAD = 10, cost = 0.6166553567430925, optgap = 0.0153692086, time = 10.052843
SAGA: PASS_GRAD = 11, cost = 0.6087874652717978, optgap = 0.0075013171, time = 11.048002
SAGA: PASS_GRAD = 12, cost = 0.6032607944496348, optgap = 0.0019746463, time = 12.036728
SAGA: PASS_GRAD = 13, cost = 0.6067885232103792, optgap = 0.0055023751, time = 13.028984
SAGA: PASS_GRAD = 14, cost = 0.6124381681698241, optgap = 0.0111520200, time = 14.052198
SAGA: PASS_GRAD = 15, cost = 0.6050439147169116, optgap = 0.0037577666, time = 15.057555
SAGA: PASS_GRAD = 16, cost = 0.6031874992409380, optgap = 0.0019013511, time = 16.063759
SAGA: PASS_GRAD = 17, cost = 0.6030501057188515, optgap = 0.0017639576, time = 17.064201
SAGA: PASS_GRAD = 18, cost = 0.6029394567173902, optgap = 0.0016533086, time = 18.264594
SAGA: PASS_GRAD = 19, cost = 0.6016229335070747, optgap = 0.0003367854, time = 19.482545
SAGA: PASS_GRAD = 20, cost = 0.6017655110645039, optgap = 0.0004793629, time = 20.782873
SAGA: PASS_GRAD = 21, cost = 0.6014400242184287, optgap = 0.0001538761, time = 21.959655
SAGA: PASS_GRAD = 22, cost = 0.6013526627408806, optgap = 0.0000665146, time = 23.115836
SAGA: PASS_GRAD = 23, cost = 0.6013889516925042, optgap = 0.0001028035, time = 24.217174
SAGA: PASS_GRAD = 24, cost = 0.6013169276570668, optgap = 0.0000307795, time = 25.301690
SAGA: PASS_GRAD = 25, cost = 0.6013191224421756, optgap = 0.0000329743, time = 26.337711
SAGA: PASS_GRAD = 26, cost = 0.6013175932067211, optgap = 0.0000314451, time = 27.484290
SAGA: PASS_GRAD = 27, cost = 0.6013033507925469, optgap = 0.0000172026, time = 28.605063
SAGA: PASS_GRAD = 28, cost = 0.6012931355864888, optgap = 0.0000069874, time = 29.609561
SAGA: PASS_GRAD = 29, cost = 0.6012909184777835, optgap = 0.0000047703, time = 30.610728
SAGA: PASS_GRAD = 30, cost = 0.6012890758281474, optgap = 0.0000029277, time = 31.601624
SAGA: PASS_GRAD = 31, cost = 0.6012869616359741, optgap = 0.0000008135, time = 32.597746
SAGA: PASS_GRAD = 32, cost = 0.6012869846387697, optgap = 0.0000008365, time = 33.604813
SAGA: PASS_GRAD = 33, cost = 0.6012880074063187, optgap = 0.0000018593, time = 34.606810
SAGA: PASS_GRAD = 34, cost = 0.6012889339263332, optgap = 0.0000027858, time = 35.605441
SAGA: PASS_GRAD = 35, cost = 0.6012875539200135, optgap = 0.0000014058, time = 36.605818
SAGA: PASS_GRAD = 36, cost = 0.6012874391658098, optgap = 0.0000012910, time = 37.621520
SAGA: PASS_GRAD = 37, cost = 0.6012873013601194, optgap = 0.0000011532, time = 38.659169
SAGA: PASS_GRAD = 38, cost = 0.6012868645389353, optgap = 0.0000007164, time = 39.685315
SAGA: PASS_GRAD = 39, cost = 0.6012862594123465, optgap = 0.0000001113, time = 40.676117
SAGA: PASS_GRAD = 40, cost = 0.6012864624176115, optgap = 0.0000003143, time = 41.668675
SAGA: PASS_GRAD = 41, cost = 0.6012862396127214, optgap = 0.0000000915, time = 42.669660
SAGA: PASS_GRAD = 42, cost = 0.6012862924920605, optgap = 0.0000001443, time = 43.717388
SAGA: PASS_GRAD = 43, cost = 0.6012862353899799, optgap = 0.0000000872, time = 44.709700
SAGA: PASS_GRAD = 44, cost = 0.6012862350068118, optgap = 0.0000000869, time = 45.708260
SAGA: PASS_GRAD = 45, cost = 0.6012861644618169, optgap = 0.0000000163, time = 46.707682
SAGA: PASS_GRAD = 46, cost = 0.6012861649427970, optgap = 0.0000000168, time = 47.756726
SAGA: PASS_GRAD = 47, cost = 0.6012861540960132, optgap = 0.0000000059, time = 48.764005
SAGA: PASS_GRAD = 48, cost = 0.6012861563507332, optgap = 0.0000000082, time = 49.817548
SAGA: PASS_GRAD = 49, cost = 0.6012861529476183, optgap = 0.0000000048, time = 50.910992
SAGA: PASS_GRAD = 50, cost = 0.6012861510982595, optgap = 0.0000000030, time = 51.926738
SAGA: PASS_GRAD = 51, cost = 0.6012861517147932, optgap = 0.0000000036, time = 52.927347
SAGA: PASS_GRAD = 52, cost = 0.6012861489575818, optgap = 0.0000000008, time = 53.967387
SAGA: PASS_GRAD = 53, cost = 0.6012861518414641, optgap = 0.0000000037, time = 55.010350
SAGA: PASS_GRAD = 54, cost = 0.6012861489085328, optgap = 0.0000000008, time = 56.004650
SAGA: PASS_GRAD = 55, cost = 0.6012861487248156, optgap = 0.0000000006, time = 57.002128
SAGA: PASS_GRAD = 56, cost = 0.6012861485826159, optgap = 0.0000000004, time = 57.998231
SAGA: PASS_GRAD = 57, cost = 0.6012861485085055, optgap = 0.0000000004, time = 58.995233
SAGA: PASS_GRAD = 58, cost = 0.6012861484100787, optgap = 0.0000000003, time = 59.986962
SAGA: PASS_GRAD = 59, cost = 0.6012861483680596, optgap = 0.0000000002, time = 60.980810
SAGA: PASS_GRAD = 60, cost = 0.6012861482473718, optgap = 0.0000000001, time = 61.975740
SAGA: PASS_GRAD = 61, cost = 0.6012861481821559, optgap = 0.0000000000, time = 62.978598
SAGA: PASS_GRAD = 62, cost = 0.6012861481723163, optgap = 0.0000000000, time = 63.971717
SAGA: PASS_GRAD = 63, cost = 0.6012861481873530, optgap = 0.0000000000, time = 64.967246
SAGA: PASS_GRAD = 64, cost = 0.6012861481595204, optgap = 0.0000000000, time = 65.968017
SAGA: PASS_GRAD = 65, cost = 0.6012861481529306, optgap = 0.0000000000, time = 67.007291
SAGA: PASS_GRAD = 66, cost = 0.6012861481514440, optgap = 0.0000000000, time = 68.014447
SAGA: PASS_GRAD = 67, cost = 0.6012861481482232, optgap = 0.0000000000, time = 69.051207
SAGA: PASS_GRAD = 68, cost = 0.6012861481496115, optgap = 0.0000000000, time = 70.100993
SAGA: PASS_GRAD = 69, cost = 0.6012861481488747, optgap = 0.0000000000, time = 71.102653
SAGA: PASS_GRAD = 70, cost = 0.6012861481473323, optgap = 0.0000000000, time = 72.103391



SAG: Epoch = 000, cost = 2.1676810287244690, optgap = 1.5664
SAG: PASS_GRAD = 1, cost = 1.1289881377049145, optgap = 0.5277019896, time = 1.192476
SAG: PASS_GRAD = 2, cost = 0.7160224509701672, optgap = 0.1147363028, time = 2.228039
SAG: PASS_GRAD = 3, cost = 0.6209559620149269, optgap = 0.0196698139, time = 3.268874
SAG: PASS_GRAD = 4, cost = 0.6090456753263299, optgap = 0.0077595272, time = 4.277282
SAG: PASS_GRAD = 5, cost = 0.6043336435137187, optgap = 0.0030474954, time = 5.279765
SAG: PASS_GRAD = 6, cost = 0.6025431497292988, optgap = 0.0012570016, time = 6.285472
SAG: PASS_GRAD = 7, cost = 0.6018456360637124, optgap = 0.0005594879, time = 7.283910
SAG: PASS_GRAD = 8, cost = 0.6015867944196283, optgap = 0.0003006463, time = 8.279590
SAG: PASS_GRAD = 9, cost = 0.6014450811816834, optgap = 0.0001589330, time = 9.279555
SAG: PASS_GRAD = 10, cost = 0.6013444591522886, optgap = 0.0000583110, time = 10.283396
SAG: PASS_GRAD = 11, cost = 0.6013028738397855, optgap = 0.0000167257, time = 11.281880
SAG: PASS_GRAD = 12, cost = 0.6012902404307375, optgap = 0.0000040923, time = 12.275578
SAG: PASS_GRAD = 13, cost = 0.6012874218341107, optgap = 0.0000012737, time = 13.278445
SAG: PASS_GRAD = 14, cost = 0.6012866972144426, optgap = 0.0000005491, time = 14.279393
SAG: PASS_GRAD = 15, cost = 0.6012863373439863, optgap = 0.0000001892, time = 15.276492
SAG: PASS_GRAD = 16, cost = 0.6012862026427797, optgap = 0.0000000545, time = 16.275433
SAG: PASS_GRAD = 17, cost = 0.6012861786598209, optgap = 0.0000000305, time = 17.273899
SAG: PASS_GRAD = 18, cost = 0.6012861662863406, optgap = 0.0000000181, time = 18.270498
SAG: PASS_GRAD = 19, cost = 0.6012861554790252, optgap = 0.0000000073, time = 19.271433
SAG: PASS_GRAD = 20, cost = 0.6012861498844081, optgap = 0.0000000017, time = 20.268716
SAG: PASS_GRAD = 21, cost = 0.6012861485880964, optgap = 0.0000000004, time = 21.271942
SAG: PASS_GRAD = 22, cost = 0.6012861483622128, optgap = 0.0000000002, time = 22.273837
