=================== prox2-saga ====================
Point-saga: Epoch = 000, cost = 1.0000000000000000, optgap = Inf
Prox2-SAGA: PASS_GRAD = 1, cost = 0.0062548752174098, optgap = Inf, time = 0.416872, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 2, cost = 0.0044948051093915, optgap = Inf, time = 0.808343, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 3, cost = 0.0072107388176837, optgap = Inf, time = 1.200749, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 4, cost = 0.0039361103547192, optgap = Inf, time = 1.596497, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 5, cost = 0.0037373403430109, optgap = Inf, time = 1.986180, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 6, cost = 0.0038293155715283, optgap = Inf, time = 2.380163, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 7, cost = 0.0030461264360104, optgap = Inf, time = 2.769783, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 8, cost = 0.0035094306220453, optgap = Inf, time = 3.157800, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 9, cost = 0.0033303608352403, optgap = Inf, time = 3.551392, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 10, cost = 0.0030351176086065, optgap = Inf, time = 3.938910, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 11, cost = 0.0028221875210874, optgap = Inf, time = 4.348311, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 12, cost = 0.0029657059238758, optgap = Inf, time = 4.742898, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 13, cost = 0.0027474592079283, optgap = Inf, time = 5.135685, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 14, cost = 0.0026845393346337, optgap = Inf, time = 5.530694, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 15, cost = 0.0026883873675982, optgap = Inf, time = 5.923084, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 16, cost = 0.0026630905757042, optgap = Inf, time = 6.356420, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 17, cost = 0.0026752887828195, optgap = Inf, time = 6.763384, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 18, cost = 0.0026514666783703, optgap = Inf, time = 7.161737, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 19, cost = 0.0030977092686690, optgap = Inf, time = 7.569367, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 20, cost = 0.0026380760434298, optgap = Inf, time = 7.958112, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 21, cost = 0.0026402879745290, optgap = Inf, time = 8.354198, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 22, cost = 0.0026788673460090, optgap = Inf, time = 8.745778, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 23, cost = 0.0026606238948242, optgap = Inf, time = 9.150754, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 24, cost = 0.0026393268565206, optgap = Inf, time = 9.548246, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 25, cost = 0.0025989253168334, optgap = Inf, time = 9.938305, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 26, cost = 0.0025970613070778, optgap = Inf, time = 10.339063, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 27, cost = 0.0026056947414482, optgap = Inf, time = 10.730530, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 28, cost = 0.0026120209711466, optgap = Inf, time = 11.119080, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 29, cost = 0.0025987756702414, optgap = Inf, time = 11.523848, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 30, cost = 0.0026386333607154, optgap = Inf, time = 11.919158, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 31, cost = 0.0026096394357392, optgap = Inf, time = 12.321219, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 32, cost = 0.0025959072717410, optgap = Inf, time = 12.714617, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 33, cost = 0.0026670059219678, optgap = Inf, time = 13.107558, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 34, cost = 0.0026021091713860, optgap = Inf, time = 13.507105, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 35, cost = 0.0026104615887930, optgap = Inf, time = 13.904540, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 36, cost = 0.0026121897596690, optgap = Inf, time = 14.302158, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 37, cost = 0.0026160485134194, optgap = Inf, time = 14.698587, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 38, cost = 0.0026104867275226, optgap = Inf, time = 15.090281, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 39, cost = 0.0026096829076104, optgap = Inf, time = 15.484674, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 40, cost = 0.0026020264727695, optgap = Inf, time = 15.873101, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 41, cost = 0.0026008085306002, optgap = Inf, time = 16.266402, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 42, cost = 0.0025991028993655, optgap = Inf, time = 16.656417, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 43, cost = 0.0026006089458289, optgap = Inf, time = 17.047987, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 44, cost = 0.0026013275660269, optgap = Inf, time = 17.440327, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 45, cost = 0.0025962704422239, optgap = Inf, time = 17.829816, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 46, cost = 0.0026036608362849, optgap = Inf, time = 18.220341, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 47, cost = 0.0025985438126411, optgap = Inf, time = 18.611056, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 48, cost = 0.0025975182422879, optgap = Inf, time = 18.999827, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 49, cost = 0.0025980680430323, optgap = Inf, time = 19.392998, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 50, cost = 0.0026003625319209, optgap = Inf, time = 19.784894, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 51, cost = 0.0025974453135923, optgap = Inf, time = 20.171901, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 52, cost = 0.0025982855587211, optgap = Inf, time = 20.564678, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 53, cost = 0.0025963783524070, optgap = Inf, time = 20.954519, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 54, cost = 0.0025990593843637, optgap = Inf, time = 21.348672, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 55, cost = 0.0025994532045107, optgap = Inf, time = 21.740155, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 56, cost = 0.0026030084633651, optgap = Inf, time = 22.130080, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 57, cost = 0.0025985539951736, optgap = Inf, time = 22.527459, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 58, cost = 0.0025966379438437, optgap = Inf, time = 22.915048, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 59, cost = 0.0025973107658910, optgap = Inf, time = 23.308139, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 60, cost = 0.0025974094978679, optgap = Inf, time = 23.696574, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 61, cost = 0.0025980458502029, optgap = Inf, time = 24.085929, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 62, cost = 0.0025988399304214, optgap = Inf, time = 24.482325, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 63, cost = 0.0025966068572565, optgap = Inf, time = 24.871812, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 64, cost = 0.0025977356500885, optgap = Inf, time = 25.262909, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 65, cost = 0.0025973483543998, optgap = Inf, time = 25.654692, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 66, cost = 0.0025984345084927, optgap = Inf, time = 26.047627, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 67, cost = 0.0025976302160221, optgap = Inf, time = 26.445311, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 68, cost = 0.0025968942442922, optgap = Inf, time = 26.835877, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 69, cost = 0.0025978204733928, optgap = Inf, time = 27.227171, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 70, cost = 0.0025975477929049, optgap = Inf, time = 27.618999, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 71, cost = 0.0025971045966298, optgap = Inf, time = 28.010593, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 72, cost = 0.0025980725769276, optgap = Inf, time = 28.406648, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 73, cost = 0.0025978159381112, optgap = Inf, time = 28.795373, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 74, cost = 0.0025970967569985, optgap = Inf, time = 29.180563, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 75, cost = 0.0025979352073160, optgap = Inf, time = 29.574185, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 76, cost = 0.0025968047678020, optgap = Inf, time = 29.963329, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 77, cost = 0.0025971680161212, optgap = Inf, time = 30.359431, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 78, cost = 0.0025979443381722, optgap = Inf, time = 30.747678, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 79, cost = 0.0025986478036406, optgap = Inf, time = 31.136442, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 80, cost = 0.0025969029964302, optgap = Inf, time = 31.532608, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 81, cost = 0.0025973338230236, optgap = Inf, time = 31.921734, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 82, cost = 0.0025971604993742, optgap = Inf, time = 32.315931, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 83, cost = 0.0025975030209275, optgap = Inf, time = 32.705832, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 84, cost = 0.0025974908211941, optgap = Inf, time = 33.095241, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 85, cost = 0.0025974824676638, optgap = Inf, time = 33.491448, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 86, cost = 0.0025978013902100, optgap = Inf, time = 33.881613, w_gap = Inf
